ScientificName
Ficus carica
Calystegia silvatica subsp. fraterniflora
Calystegia spithamaea
Calystegia spithamaea subsp. spithamaea
Convolvulus arvensis
Cuscuta campestris
Cuscuta cephalanthi
Cuscuta compacta
Cuscuta coryli
Cuscuta cuspidata
Cuscuta glomerata
Cuscuta gronovii
Cuscuta gronovii var. gronovii
Cuscuta pentagona
Cuscuta polygonorum
Ipomoea coccinea
Ipomoea hederacea
Ipomoea lacunosa
Ipomoea pandurata
Ipomoea purpurea
Cornus alternifolia
Cornus amomum
Cornus canadensis
Cornus drummondii
Cornus florida
Cornus foemina
Cornus obliqua
Cornus racemosa
Cornus rugosa
Cornus sericea
Hylotelephium erythrostictum
Hylotelephium telephioides
Hylotelephium telephium
Phedimus spurius
Sedum acre
Sedum album
Sedum pulchellum
Sedum sarmentosum
Sedum sexangulare
Sedum ternatum
Sempervivum tectorum
Citrullus lanatus
Cucumis metuliferus
Cucurbita foetidissima
Echinocystis lobata
Melothria pendula
Sicyos angulatus
Juniperus communis
Juniperus communis var. depressa
Juniperus virginiana
Juniperus virginiana var. virginiana
Taxodium distichum
Taxodium distichum var. distichum
Thuja occidentalis
Bolboschoenus fluviatilis
Bolboschoenus maritimus
Bolboschoenus maritimus subsp. paludosus
Bulbostylis capillaris
Carex acutiformis
Carex aggregata
Carex alata
Carex albicans
Carex albicans var. albicans
Carex albicans var. emmonsii
Carex albolutescens
Carex albursina
Carex alopecoidea
Carex amphibola
Carex annectens
Carex aquatilis
Carex aquatilis var. substricta
Carex arctata
Carex atherodes
Carex atlantica
Carex atlantica subsp. atlantica
Carex atlantica subsp. capillacea
Carex aurea
Carex aureolensis
Carex bebbii
Carex bicknellii
Carex blanda
Carex brevior
Carex bromoides
Carex bromoides subsp. bromoides
Carex brunnescens
Carex bushii
Carex buxbaumii
Carex canescens
Carex canescens subsp. canescens
Carex canescens subsp. disjuncta
Carex careyana
Carex caroliniana
Carex cephaloidea
Carex cephalophora
Carex chordorrhiza
Carex communis
Carex comosa
Carex conjuncta
Carex conoidea
Carex corrugata
Carex crawei
Carex crawfordii
Carex crinita
Carex crinita var. crinita
Carex cristatella
Carex crus-corvi
Carex cryptolepis
Carex cumberlandensis
Carex cumulata
Carex davisii
Carex debilis
Carex debilis var. debilis
Carex debilis var. rudgei
Carex decomposita
Carex diandra
Carex digitalis
Carex digitalis var. digitalis
Carex digitalis var. macropoda
Carex disperma
Carex eburnea
Carex echinata
Carex echinata subsp. echinata
Carex echinodes
Carex emoryi
Carex festucacea
Carex flava
Carex folliculata
Carex frankii
Carex garberi
Carex gigantea
Carex glaucodea
Carex gracilescens
Carex gracillima
Carex granularis
Carex gravida
Carex grayi
Carex grisea
Carex haydenii
Carex hirsutella
Carex hirtifolia
Carex hitchcockiana
Carex hyalinolepis
Carex hystericina
Carex inops
Carex inops subsp. heliophila
Carex interior
Carex intumescens
Carex jamesii
Carex kraliana
Carex lacustris
Carex laevivaginata
Carex lasiocarpa
Carex lasiocarpa subsp. americana
Carex laxiculmis
Carex laxiculmis var. copulata
Carex laxiculmis var. laxiculmis
Carex laxiflora
Carex leavenworthii
Carex leptalea
Carex leptalea subsp. harperi
Carex leptalea subsp. leptalea
Carex leptonervia
Carex limosa
Carex livida
Carex longii
Carex louisianica
Carex lupuliformis
Carex lupulina
Carex lurida
Carex meadii
Carex mesochorea
Carex missouriensis
Carex molesta
Carex muehlenbergii
Carex muehlenbergii var. enervis
Carex muehlenbergii var. muehlenbergii
Carex muskingumensis
Carex normalis
Carex oklahomensis
Carex oligocarpa
Carex oligosperma
Carex pedunculata
Carex pellita
Carex pensylvanica
Carex picta
Carex planispicata
Carex plantaginea
Carex platyphylla
Carex praegracilis
Carex prairea
Carex prasina
Carex projecta
Carex pseudocyperus
Carex radiata
Carex retroflexa
Carex retrorsa
Carex richardsonii
Carex rosea
Carex sartwellii
Carex scabrata
Carex scoparia
Carex seorsa
Carex shortiana
Carex siccata
Carex socialis
Carex sparganioides
Carex spicata
Carex sprengelii
Carex squarrosa
Carex sterilis
Carex stipata
Carex stipata var. maxima
Carex stipata var. stipata
Carex straminea
Carex stricta
Carex suberecta
Carex swanii
Carex tenera
Carex tetanica
Carex texensis
Carex timida
Carex tonsa
Carex tonsa var. rugosperma
Carex tonsa var. tonsa
Carex torta
Carex tribuloides
Carex tribuloides var. sangamonensis
Carex tribuloides var. tribuloides
Carex trichocarpa
Carex trisperma
Carex tuckermanii
Carex typhina
Carex umbellata
Carex utriculata
Carex vesicaria
Carex virescens
Carex viridistellata
Carex viridula
Carex viridula var. viridula
Carex vulpinoidea
Carex willdenowii
Carex woodii
Carex × deamii
Carex × subimpressa
Cladium mariscoides
Cyperus acuminatus
